epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.4382,4.34664,6.02296,3.52617,0.00174,0.25926,0.00166,0.00051,5.04602,4.01616,4.06964,0,0,0
2,12.6545,4.22272,5.47639,3.66177,0.00175,0.25926,0.00161,0.00053,5.04726,4.00233,4.09776,1.41485e-05,1.41485e-05,1.41485e-05
3,14.766,4.18692,5.37988,3.59097,0.00175,0.25926,0.00173,0.00056,5.03028,3.99457,4.09998,2.80141e-05,2.80141e-05,2.80141e-05
4,16.3553,4.2312,5.49325,3.64682,0.00176,0.25926,0.00175,0.00058,5.00445,4.01426,4.09551,4.15968e-05,4.15968e-05,4.15968e-05
5,18.0243,4.57922,6.20181,3.92165,0.00175,0.25926,0.00172,0.0006,4.9696,4.01253,4.09812,5.48965e-05,5.48965e-05,5.48965e-05
6,19.5123,4.28794,5.40976,3.85831,0.00175,0.25926,0.00162,0.00058,4.99078,4.03383,4.09829,6.79132e-05,6.79132e-05,6.79132e-05
7,20.9787,4.2319,5.91824,3.61672,0.0015,0.22222,0.00141,0.00055,4.99929,4.0491,4.10962,8.0647e-05,8.0647e-05,8.0647e-05
8,22.6377,4.23409,5.80187,3.60178,0.00149,0.22222,0.00146,0.00057,4.98578,4.06589,4.10743,9.30979e-05,9.30979e-05,9.30979e-05
9,24.1297,4.31264,5.72909,3.77634,0.00131,0.25926,0.00494,0.00209,4.42387,3.61288,3.73251,0.000105266,0.000105266,0.000105266
10,27.3311,3.62789,5.00499,3.14729,0.00173,0.33333,0.00537,0.00163,4.04264,3.7045,3.49802,0.000117151,0.000117151,0.000117151
11,31.0773,3.17058,4.29289,3.00764,0.00199,0.33333,0.00393,0.00088,3.94946,3.778,3.45724,0.000128753,0.000128753,0.000128753
12,34.4792,3.57649,4.31268,3.04631,0.00236,0.33333,0.03759,0.01053,4.00521,3.69669,3.71667,0.000140072,0.000140072,0.000140072
13,38.3785,3.09176,3.72657,2.78047,0.68754,0.18519,0.02027,0.00557,3.93357,4.00225,3.72828,0.000151108,0.000151108,0.000151108
14,41.7912,2.80413,3.45761,2.55751,0.69186,0.07407,0.02203,0.0069,3.94405,4.21687,3.72452,0.000161861,0.000161861,0.000161861
15,45.9643,2.94852,3.50201,2.58011,0.01266,0.07407,0.02075,0.00625,3.77538,4.14586,3.62231,0.000172332,0.000172332,0.000172332
16,50.045,2.71876,3.38159,2.47177,0.0115,0.33333,0.01125,0.00251,3.78095,8.94139,3.78092,0.000182519,0.000182519,0.000182519
17,53.7098,2.52774,3.15474,2.41912,0.01772,0.37037,0.02604,0.00469,3.71056,17.9418,3.85637,0.000192423,0.000192423,0.000192423
